t_s,MAE_C,L2,max_err_C,step_time_s
0.5,46.59636705470019,0.12463424070475083,105.10987829983014,7.289
1.0,51.53426336929085,0.18391578303739825,86.47291039831492,5.375
2.0,14.596312695633271,0.11516721331876086,58.69981807925717,5.523
5.0,8.912375524237302,0.28791186049518797,41.729827790685945,5.418
10.0,24.823949261101944,1.2497231467014522,47.368757236067175,5.302
20.0,33.144544852825824,1.7580607326674513,76.52597125807128,5.451
30.0,11.175417317277244,0.6728050617909171,36.07119367464185,5.599
