geometry,step,t_start,t_end,MAE,L2,max_err,step_time_s
square,1,0.0,0.5,46.59636705470019,0.12463424070475083,105.10987829983014,7.289
square,2,0.5,1.0,51.53426336929085,0.18391578303739825,86.47291039831492,5.375
square,3,1.0,1.5,51.079591198880486,0.2482199844575981,87.86375901950052,5.519
square,4,1.5,2.0,14.596312695633271,0.11516721331876086,58.69981807925717,5.523
square,5,2.0,2.5,7.036809336309984,0.0734071303875651,25.857217606195874,5.41
square,6,2.5,3.0,21.695498099894934,0.25969359207142545,50.844251606680444,5.275
square,7,3.0,3.5,61.39011603033623,0.8863521355555061,97.25435333196647,5.308
square,8,3.5,4.0,65.18243123803744,1.176788601289847,106.7528748139666,5.275
square,9,4.0,4.5,22.936945056586264,0.5463440007647569,60.94273989691287,5.328
square,10,4.5,5.0,8.912375524237302,0.28791186049518797,41.729827790685945,5.418
square,11,5.0,5.5,6.882523980883021,0.2629744730195608,30.86287061965433,5.454
square,12,5.5,6.0,29.95954034158891,1.065315194099893,58.04531834977357,5.54
square,13,6.0,6.5,43.64126208315185,1.646719041775336,69.1940730878816,5.593
square,14,6.5,7.0,23.84592244445912,1.0424512123977525,64.46433039064576,5.643
square,15,7.0,7.5,10.988489464979754,0.5969667065654337,47.54451562043666,5.551
square,16,7.5,8.0,27.766413187327355,1.264342624446237,49.83168115822337,5.423
square,17,8.0,8.5,60.41999084329666,2.8131257996813845,101.55433044312954,5.363
square,18,8.5,9.0,28.735179865928988,1.3971540187349,51.779406166385535,5.203
square,19,9.0,9.5,12.710616437511117,0.7407677838411636,47.2086290735711,5.29
square,20,9.5,10.0,24.823949261101944,1.2497231467014522,47.368757236067175,5.302
square,21,10.0,10.5,37.31699538164385,1.86266686702251,63.15934852919415,5.287
square,22,10.5,11.0,12.04428471457603,0.6994951471270963,49.56512764970347,5.23
square,23,11.0,11.5,7.234947259435438,0.44218451906191625,27.071027864463396,5.198
square,24,11.5,12.0,41.80745398431858,2.138303641811271,76.59680049168864,5.328
square,25,12.0,12.5,63.654774732674916,3.214019663558018,95.32352551075661,6.05
square,26,12.5,13.0,66.57671705734688,3.337936275271352,93.03869129638326,6.816
square,27,13.0,13.5,48.531302510854744,2.4944812083537626,83.94737375332997,5.584
square,28,13.5,14.0,35.35678775682156,1.8102121669630566,62.30658943200411,5.705
square,29,14.0,14.5,10.051283264072575,0.6322603030718681,39.32340360032751,5.475
square,30,14.5,15.0,12.339163173102213,0.7028883475809669,32.627778849442834,5.323
square,31,15.0,15.5,8.653645618798665,0.5361943123944022,44.4271996364518,5.298
square,32,15.5,16.0,26.03668913458864,1.351259136198202,49.01682798549359,5.341
square,33,16.0,16.5,38.2305292148341,1.9592370457299646,65.16375077556465,5.429
square,34,16.5,17.0,26.822658788363373,1.408503664885118,70.06015962459136,5.604
square,35,17.0,17.5,12.758351485007088,0.777631762048919,46.926173552572784,5.426
square,36,17.5,18.0,6.078949921302537,0.3742146550070013,23.399695955702526,5.339
square,37,18.0,18.5,11.2914676784303,0.7022022362170749,37.57225160549606,5.471
square,38,18.5,19.0,11.086034359870387,0.6416305218065542,39.91929190681483,5.4
square,39,19.0,19.5,37.97251930192661,2.0260375674892557,82.31078919890052,5.507
square,40,19.5,20.0,33.144544852825824,1.7580607326674513,76.52597125807128,5.451
square,41,20.0,20.5,53.22593096211375,2.6968915476406976,80.07433669834717,5.539
square,42,20.5,21.0,33.743464724926106,1.723048971852199,58.90073372233239,5.538
square,43,21.0,21.5,13.31351049700724,0.7970658680500102,39.77567268287523,5.502
square,44,21.5,22.0,41.397126649050634,2.142438130139107,81.85916171884122,5.428
square,45,22.0,22.5,71.14868969163972,3.602773824003512,105.07899434257024,5.638
square,46,22.5,23.0,51.431732195711724,2.5918977031450536,68.95476652068643,5.741
square,47,23.0,23.5,22.301460591137634,1.2143661053293677,51.982370699304816,5.516
square,48,23.5,24.0,53.265436236619294,2.729202268696315,89.62824867734679,5.614
square,49,24.0,24.5,33.687462342674515,1.778354657559595,66.44615908341599,5.436
square,50,24.5,25.0,15.116578693761173,0.8318785262165586,45.361491988896404,5.446
square,51,25.0,25.5,45.50980106881093,2.324240369665145,72.66631262041926,5.532
square,52,25.5,26.0,38.3946452296137,2.000453258842882,75.36417677030889,5.533
square,53,26.0,26.5,12.606363716808973,0.7749656862598278,57.3189699681723,5.57
square,54,26.5,27.0,41.80363390857358,2.199155198285604,84.75945517902787,5.667
square,55,27.0,27.5,28.971736400211647,1.4933015577956994,53.600603325982405,5.573
square,56,27.5,28.0,11.391171512098431,0.7538613099190191,57.55438359359706,5.473
square,57,28.0,28.5,9.518943512169253,0.5888782776409036,36.85595713540161,5.462
square,58,28.5,29.0,9.7927041736019,0.613963866886055,40.519839915312474,5.521
square,59,29.0,29.5,10.569637090258997,0.6766320669934444,42.120543053506054,5.705
square,60,29.5,30.0,11.175417317277244,0.6728050617909171,36.07119367464185,5.599
